Package                      Version
---------------------------- ---------------------
aiodns                       3.6.1
aiohappyeyeballs             2.6.1
aiohttp                      3.13.5
aiosignal                    1.4.0
altgraph                     0.17.5
annotated-doc                0.0.4
annotated-types              0.7.0
ansible-core                 2.18.12
anyio                        4.12.1
APScheduler                  3.11.2
argcomplete                  3.6.3
attrs                        25.4.0
Automat                      25.4.16
azure-core                   1.39.0
azure-identity               1.25.3
azure-storage-blob           12.28.0
backoff                      2.2.1
base58                       2.1.1
Beaker                       1.12.1
beaker-client                29.2
beaker-common                29.2
beautifulsoup4               4.14.3
blivet                       3.12.1
blivet-gui                   2.6.0
blosc2                       3.8.0
boto3                        1.42.83
botocore                     1.42.83
Bottleneck                   1.6.0
Brlapi                       0.8.7
Brotli                       1.2.0
cachetools                   5.5.2
certifi                      2025.7.9
cffi                         2.0.0
cfgv                         3.5.0
charset-normalizer           3.4.3
click                        8.1.8
cockpit                      358
configobj                    5.0.9
constantly                   23.10.4
contourpy                    1.3.3
croniter                     6.2.2
crypt_r                      3.13.1
cryptography                 46.0.6
cupshelpers                  1.0
cycler                       0.11.0
dasbus                       1.7
dbus_next                    0.2.3
dbus-python                  1.4.0
decorator                    5.2.1
defusedxml                   0.7.1
distlib                      0.4.0
distro                       1.9.0
dnf                          4.24.0
dnspython                    2.8.0
email-validator              2.3.0
et_xmlfile                   2.0.0
fastapi                      0.135.3
fastapi-sso                  0.21.0
fastuuid                     0.14.0
fedora-third-party           0.10
file-magic                   0.4.0
filelock                     3.15.4
fonttools                    4.61.0
frozenlist                   1.8.0
fsspec                       2026.1.0
gcsfs                        2025.9.0
google-ai-generativelanguage 0.6.15
google-api-core              2.27.0
google-api-python-client     2.188.0
google-auth                  2.45.0
google-auth-httplib2         0.3.0
google-auth-oauthlib         1.2.3
google-cloud-core            2.3.3
google-cloud-storage         2.14.0
google-crc32c                1.8.0
google-generativeai          0.8.6
google-resumable-media       2.8.0
googleapis-common-protos     1.63.0
greenlet                     3.1.1
grpcio                       1.48.4
grpcio-status                1.48.4
gssapi                       1.7.3
gunicorn                     25.3.0
h11                          0.16.0
hf-xet                       1.4.3
html5lib                     1.1
httpcore                     1.0.9
httplib2                     0.31.2
httpx                        0.28.1
httpx-sse                    0.4.3
huggingface_hub              1.9.0
humanize                     4.13.0
hyperlink                    21.0.0
identify                     2.6.18
idna                         3.10
importlib_metadata           8.5.0
Incremental                  24.11.0
iso639                       0.1.4
isodate                      0.7.2
Jinja2                       3.1.6
jira                         3.10.5
jiter                        0.13.0
jmespath                     1.1.0
jsonschema                   4.23.0
jsonschema-specifications    2024.10.1
kiwisolver                   1.5.0
koji                         1.35.3
langtable                    0.0.69
libcomps                     0.1.23
libdnf                       0.75.0
libdnf5                      5.2.18.0
libvirt-python               11.6.0
litellm                      1.83.3
louis                        3.33.0
lxml                         6.0.1
Mako                         1.2.3
Markdown                     3.10.2
markdown-it-py               4.0.0
MarkupSafe                   3.0.2
matplotlib                   3.10.8
mcp                          1.27.0
mdurl                        0.1.2
mercurial                    7.1.1
MouseInfo                    0.1.3
msal                         1.35.1
msal-extensions              1.3.1
msgpack                      1.1.0
multidict                    6.6.4
mutagen                      1.47.0
ndindex                      1.10.0
nftables                     0.1
nodeenv                      1.10.0
Nuitka                       4.0.1
numexpr                      2.12.1
numpy                        2.3.5
oauthlib                     3.2.2
odfpy                        1.4.1
olefile                      0.47
openai                       2.30.0
openpyxl                     3.1.5
packaging                    25.0
pandas                       2.3.3
Paste                        3.10.1
PBinCLI                      0.3.7
perf                         0.1
pexpect                      4.9.0
pid                          3.0.4
pillow                       11.3.0
pip                          25.1.1
platformdirs                 4.2.2
playwright                   1.58.0
ply                          3.11
pooch                        1.9.0
pre_commit                   4.5.1
prettytable                  3.10.0
productmd                    1.50
propcache                    0.4.1
proto-plus                   1.27.1
